,yrsurv,age,gender,irstrata,fearfail,suskill,opport,knowent,discent,exreason,bstart
3,2008,28,2,2,2,1,1,1,0,0,1
20,2008,38,1,2,2,1,1,1,0,0,1
25,2008,26,2,6,2,1,1,1,0,0,1
30,2008,25,1,6,2,1,1,2,0,0,2
35,2008,45,1,2,-1,2,-1,1,0,0,1
40,2008,21,1,2,2,1,-1,2,0,0,2
51,2008,24,1,2,2,2,2,2,0,0,2
53,2008,32,1,3,1,2,2,2,0,0,2
68,2008,42,1,2,-1,1,-1,1,0,0,2
77,2008,29,1,6,1,1,2,1,0,0,1
79,2008,28,1,2,2,-1,-1,1,0,0,2
82,2008,36,1,2,-1,2,2,1,0,0,1
87,2008,28,1,2,1,1,-1,-1,0,0,1
91,2008,47,1,2,1,2,-1,-1,0,0,2
95,2008,38,1,2,2,1,1,1,0,0,2
99,2008,28,1,2,2,1,1,1,0,0,2
101,2008,55,1,6,2,1,-1,1,0,0,2
102,2008,26,1,3,1,2,2,2,0,0,2
103,2008,50,1,3,2,1,-1,1,0,0,2
104,2008,30,1,3,2,1,2,2,0,0,2
107,2008,27,1,3,2,1,1,1,0,0,1
108,2008,24,2,3,1,1,1,1,0,0,1
112,2008,50,1,4,2,1,2,1,0,0,2
116,2008,33,1,4,2,1,-1,2,0,0,1
133,2008,35,2,4,2,1,2,2,0,0,2
134,2008,43,1,4,2,1,1,1,0,0,2
138,2008,42,1,4,2,1,2,1,1,8,1
139,2008,27,1,4,2,1,2,2,1,8,1
145,2008,45,1,4,2,1,1,1,0,0,2
150,2008,28,1,4,2,1,2,1,1,8,2
153,2008,41,1,2,2,2,2,1,0,0,2
155,2008,34,1,2,-1,2,2,2,0,0,1
160,2008,37,1,2,2,1,-1,1,0,0,1
162,2008,21,1,2,2,2,2,1,0,0,1
164,2008,35,1,2,2,2,2,2,0,0,1
168,2008,40,1,2,1,2,-1,1,0,0,1
169,2008,32,2,4,2,1,1,1,0,0,2
170,2008,35,1,4,2,2,2,2,0,0,1
175,2008,25,1,2,2,2,2,2,0,0,2
178,2008,35,1,2,2,2,1,2,0,0,2
181,2008,33,1,2,1,1,2,2,0,0,1
184,2008,42,2,2,1,2,2,1,0,0,1
203,2008,47,1,3,2,1,2,2,0,0,1
208,2008,31,1,3,2,1,1,2,0,0,2
209,2008,23,1,3,2,1,1,2,0,0,1
223,2008,22,1,3,-1,2,-1,2,0,0,2
233,2008,35,1,3,2,2,2,2,0,0,2
234,2008,38,1,3,2,1,2,2,0,0,2
235,2008,52,1,3,2,1,1,2,0,0,2
239,2008,29,1,3,2,1,1,2,0,0,1
243,2008,33,2,3,2,1,2,2,0,0,2
245,2008,38,1,3,2,1,2,2,0,0,2
254,2008,28,2,3,2,1,2,2,0,0,1
255,2008,52,1,3,2,1,2,2,0,0,2
257,2008,36,1,3,2,1,2,2,0,0,2
266,2008,25,1,2,2,1,2,1,0,0,1
269,2008,20,1,2,2,1,1,2,0,0,1
270,2008,21,1,2,2,1,1,1,0,0,1
273,2008,19,1,2,2,1,1,1,1,8,1
276,2008,26,2,2,2,1,2,2,0,0,1
280,2008,40,1,2,2,1,2,1,0,0,1
283,2008,18,1,2,2,1,1,2,0,0,2
287,2008,46,1,2,2,1,-1,1,0,0,1
300,2008,35,1,2,2,1,1,1,0,0,1
302,2008,31,1,2,2,1,1,1,0,0,2
306,2008,20,2,2,2,1,1,2,0,0,1
307,2008,39,2,2,2,1,1,1,0,0,2
308,2008,38,1,2,2,1,1,2,0,0,1
317,2008,36,1,2,2,1,1,1,0,0,1
324,2008,27,2,2,2,1,2,1,0,0,1
325,2008,45,2,2,2,1,2,2,0,0,1
327,2008,56,1,2,2,1,1,1,0,0,2
338,2008,21,1,2,2,1,1,1,0,0,1
339,2008,51,1,2,2,1,1,1,0,0,1
341,2008,26,1,2,2,1,1,1,1,9,1
353,2008,32,1,2,2,-1,-1,1,0,0,2
356,2008,32,1,2,1,1,2,2,0,0,2
357,2008,32,2,2,2,1,1,2,0,0,1
358,2008,32,2,2,2,1,2,2,0,0,2
359,2008,32,1,2,1,1,1,2,0,0,1
363,2008,30,1,2,1,1,1,1,0,0,1
372,2008,24,1,2,2,1,-2,1,0,0,1
374,2008,32,1,2,1,1,2,2,0,0,2
383,2008,31,2,2,2,2,2,2,0,0,1
387,2008,33,2,2,2,-1,-2,2,0,0,2
389,2008,32,2,2,2,1,-1,2,0,0,1
